INSTNM,STABBR
Old Dominion University,VA
Patrick Henry Community College,VA
Paul D Camp Community College,VA
Southside Regional Medical Center Professional Schools,VA
Miller-Motte Technical College-Lynchburg,VA
Piedmont Virginia Community College,VA
Radford University,VA
Sylvain Melloul International Hair Academy,VA
Randolph-Macon College,VA
Randolph College,VA
Rappahannock Community College,VA
Fortis College-Norfolk,VA
Richard Bland College of the College of William and Mary,VA
Bon Secours Memorial College of Nursing,VA
University of Richmond,VA
Riverside School of Health Careers,VA
Roanoke College,VA
Bon Secours St Mary's Hospital School of Medical Imaging,VA
Saint Pauls College,VA
Shenandoah University,VA
Southern Virginia University,VA
Southside Virginia Community College,VA
Southwest Virginia Community College,VA
Springfield Beauty Academy,VA
Staunton School of Cosmetology,VA
Strayer University-Virginia,VA
Sweet Briar College,VA
Thomas Nelson Community College,VA
Tidewater Community College,VA
Union Presbyterian Seminary,VA
The University of Virginia's College at Wise,VA
Virginia Highlands Community College,VA
Virginia Intermont College,VA
Virginia Polytechnic Institute and State University,VA
Virginia Western Community College,VA
Virginia Commonwealth University,VA
University of Virginia-Main Campus,VA
Virginia Military Institute,VA
Virginia School of Hair Design,VA
Virginia University of Lynchburg,VA
Virginia State University,VA
Virginia Union University,VA
Virginia Wesleyan College,VA
Wards Corner Beauty Academy-Norfolk,VA
Washington and Lee University,VA
Sanford-Brown College-Tysons Corner,VA
Washington County Adult Skill Center,VA
Woodrow Wilson Rehabilitation Center,VA
Wytheville Community College,VA
Beauty Academy,WA
The Art Institute of Seattle,WA
Evergreen Beauty and Barber College-Bellevue,WA
Bellevue College,WA
Bellingham Beauty School,WA
Bellingham Technical College,WA
Big Bend Community College,WA
Everest College-Bremerton,WA
Everest College-Renton,WA
Central Washington University,WA
Centralia College,WA
City University of Seattle,WA
Lucas Marc Academy,WA
Clark College,WA
Clover Park Technical College,WA
Columbia Basin College,WA
Cornish College of the Arts,WA
Divers Institute of Technology,WA
Eastern Washington University,WA
Edmonds Community College,WA
Everett Community College,WA
Paroba College of Cosmetology,WA
The Evergreen State College,WA
Pierce College at Fort Steilacoom,WA
Glen Dow Academy of Hair Design,WA
Gonzaga University,WA
Grays Harbor College,WA
Green River Community College,WA
Toni & Guy Hairdressing Academy-Shoreline,WA
Heritage University,WA
Highline Community College,WA
Interface College-Spokane,WA
International Air and Hospitality Academy,WA
ITT Technical Institute-Seattle,WA
ITT Technical Institute-Spokane Valley,WA
Bastyr University,WA
Gene Juarez Academy of Beauty-Mountlake Terrace,WA
Bates Technical College,WA
Lake Washington Institute of Technology,WA
Lower Columbia College,WA
Trinity Lutheran College,WA
Cascade Beauty College,WA
BJ's Beauty & Barber College,WA
Northwest Hair Academy,WA
Seattle Community College-North Campus,WA
Northwest University,WA
Olympic College,WA
Perry Technical Institute,WA
Pacific Lutheran University,WA
Peninsula College,WA
University of Puget Sound,WA
Renton Technical College,WA
Saint Martin's University,WA
Seattle Community College-South Campus,WA
Seattle Central College,WA
Everest College-Seattle,WA
Seattle Pacific University,WA
Seattle University,WA
Shoreline Community College,WA
Skagit Valley College,WA
South Puget Sound Community College,WA
Spokane Community College,WA
Spokane Falls Community College,WA
Stylemaster College of Hair Design,WA
Tacoma Community College,WA
The Hair School,WA
Walla Walla Community College,WA
Walla Walla University,WA
Washington State University,WA
University of Washington-Seattle Campus,WA
Wenatchee Valley College,WA
Everest College-Vancouver,WA
Western Washington University,WA
Whatcom Community College,WA
Whitman College,WA
Whitworth University,WA
Yakima Valley Community College,WA
Alderson Broaddus University,WV
Appalachian Beauty School,KY
Appalachian Bible College,WV
B M Spurr School of Practical Nursing,WV
Ben Franklin Career Center,WV
Bethany College,WV
Bluefield State College,WV
Cabell County Career Technology Center,WV
Charleston School of Beauty Culture,WV
University of Charleston,WV
Clarksburg Beauty Academy and School of Massage Therapy,WV
Concord University,WV
Davis & Elkins College,WV
Fairmont State University,WV
Glenville State College,WV
HRDE-Stanley Technical Institute-Clarksburg,WV
Huntington Junior College,WV
James Rumsey Technical Institute,WV
Ralph R Willis Career and Technical Center,WV
Human Resource Development and Employment Inc,WV
Marshall University,WV
Mercer County Technical Education Center,WV
Meredith Manor International Equestrian Center,WV
Monongalia County Technical Education Center,WV
Morgantown Beauty College Inc,WV
Mountain State College,WV
Everest Institute-Cross Lanes,WV
Opportunities Industrialization Center,WV
Ohio Valley University,WV
West Virginia University at Parkersburg,WV
Potomac State College of West Virginia University,WV
Academy of Careers and Technology,WV
Salem International University,WV
Shepherd University,WV
Southern West Virginia Community and Technical College,WV
Fred W Eberle Technical Center,WV
West Virginia School of Osteopathic Medicine,WV
West Virginia State University,WV
West Virginia University Hospital Departments of Rad Tech and Nutrition,WV
West Liberty University,WV
West Virginia University Institute of Technology,WV
West Virginia Wesleyan College,WV
West Virginia Business College-Wheeling,WV
West Virginia Junior College-Charleston,WV
West Virginia Junior College-Morgantown,WV
International Beauty School 4,WV
West Virginia Northern Community College,WV
West Virginia University,WV
Wheeling Jesuit University,WV
Wood County School of Practical Nursing,WV
Advanced Institute of Hair Design-Glendale,WI
VICI Aveda Institute,WI
Alverno College,WI
Madison Area Technical College,WI
Bellin College,WI
Beloit College,WI
Blackhawk Technical College,WI
Cardinal Stritch University,WI
Carroll University,WI
Carthage College,WI
Columbia College of Nursing,WI
Concordia University-Wisconsin,WI
Edgewood College,WI
Fox Valley Technical College,WI
Gateway Technical College,WI
Gill-Tech Academy of Hair Design,WI
The Salon Professional Academy-Eau Claire,WI
ITT Technical Institute-Greenfield,WI
DeVry University-Wisconsin,WI
Lakeland College,WI
Lakeshore Technical College,WI
Lawrence University,WI
Maranatha Baptist University,WI
Marian University,WI
Marquette University,WI
Empire Beauty School-Madison,WI
Medical College of Wisconsin,WI
Mid-State Technical College,WI
Milwaukee Area Technical College,WI
Milwaukee Institute of Art & Design,WI
Milwaukee School of Engineering,WI
Moraine Park Technical College,WI
Mount Mary University,WI
Nashotah House,WI
Nicolet Area Technical College,WI
Northcentral Technical College,WI
Northeast Wisconsin Technical College,WI
Northland International University,WI
Northland College,WI
Ripon College,WI
Sacred Heart School of Theology,WI
Saint Norbert College,WI
Silver Lake College of the Holy Family,WI
State College of Beauty Culture Inc,WI
Southwest Wisconsin Technical College,WI
Bryant & Stratton College-Milwaukee,WI
University of Wisconsin Colleges,WI
Viterbo University,WI
Chippewa Valley Technical College,WI
Waukesha County Technical College,WI
Western Technical College,WI
University of Wisconsin-Whitewater,WI
Wisconsin Indianhead Technical College,WI
Wisconsin School of Professional Psychology,WI
Paul Mitchell the School-Green Bay,WI
University of Wisconsin-Eau Claire,WI
University of Wisconsin-Green Bay,WI
University of Wisconsin-La Crosse,WI
Wisconsin Lutheran College,WI
University of Wisconsin-Oshkosh,WI
University of Wisconsin-Parkside,WI
Herzing University-Madison,WI
University of Wisconsin-Stout,WI
University of Wisconsin-Superior,WI
University of Wisconsin-System Administration,WI
University of Wisconsin-Madison,WI
University of Wisconsin-Milwaukee,WI
University of Wisconsin-Platteville,WI
University of Wisconsin-River Falls,WI
University of Wisconsin-Stevens Point,WI
Casper College,WY
Central Wyoming College,WY
Eastern Wyoming College,WY
Laramie County Community College,WY
Northwest College,WY
Sheridan College,WY
Western Wyoming Community College,WY
Cheeks International Academy of Beauty Culture-Cheyenne,WY
Wyotech-Laramie,WY
University of Wyoming,WY
American Samoa Community College,AS
Guam Community College,GU
University of Guam,GU
Northern Marianas College,MP
Institute of Beauty Careers,PR
Educational Technical College-Recinto de Bayamon,PR
American University of Puerto Rico,PR
American University of Puerto Rico,PR
American Educational College,PR
Antilles School of Technical Careers,PR
Universidad Adventista de las Antillas,PR
Atlantic University College,PR
Bayamon Central University,PR
Columbia Centro Universitario-Caguas,PR
Carlos Albizu University-San Juan,PR
Caribbean University-Bayamon,PR
Caribbean University-Carolina,PR
Pontifical Catholic University of Puerto Rico-Arecibo,PR
Pontifical Catholic University of Puerto Rico-Ponce,PR
Centro de Estudios Multidisciplinarios-San Juan,PR
Universidad Teologica del Caribe,PR
Colegio Universitario de San Juan,PR
Universidad Metropolitana,PR
Puerto Rico Conservatory of Music,PR
Center for Advanced Studies On Puerto Rico and the Caribbean,PR
EDP University of Puerto Rico Inc-San Sebastian,PR
Emma's Beauty Academy-Mayaguez,PR
Escuela de Artes Plasticas de Puerto Rico,PR
Instituto Tecnologico de Puerto Rico-Recinto de Manati,PR
Sistema Universitario Ana G Mendez,PR
Huertas College,PR
Humacao Community College,PR
ICPR Junior College-Arecibo,PR
ICPR Junior College-Mayaguez,PR
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,PR
Hispanic American College,PR
Instituto de Banca y Comercio Inc,PR
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,PR
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,PR
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,PR
Inter American University of Puerto Rico-San German,PR
Inter American University of Puerto Rico-Aguadilla,PR
Inter American University of Puerto Rico-Arecibo,PR
Inter American University of Puerto Rico-Barranquitas,PR
Inter American University of Puerto Rico-Metro,PR
Inter American University of Puerto Rico-Ponce,PR
Inter American University of Puerto Rico-Central Office,PR
Inter American University of Puerto Rico-Fajardo,PR
Inter American University of Puerto Rico-Guayama,PR
Inter American University of Puerto Rico-Bayamon,PR
Inter American University of Puerto Rico-School of Law,PR
International Technical College,PR
Liceo de Arte y Tecnologia,PR
MBTI Business Training Institute,PR
Modern Hairstyling Institute-Bayamon,PR
Modern Hairstyling Institute-Arecibo,PR
National University College-Bayamon,PR
National University College-Arecibo,PR
Ponce Paramedical College Inc,PR
Ponce School of Medicine and Health Sciences,PR
University of Puerto Rico-Aguadilla,PR
University of Puerto Rico-Arecibo,PR
University of Puerto Rico-Bayamon,PR
University of Puerto Rico-Carolina,PR
University of Puerto Rico-Cayey,PR
University of Puerto Rico-Central Administration,PR
University of Puerto Rico-Humacao,PR
University of Puerto Rico-Utuado,PR
University of Puerto Rico-Mayaguez,PR
University of Puerto Rico-Medical Sciences,PR
University of Puerto Rico-Ponce,PR
University of Puerto Rico-Rio Piedras,PR
Universidad Del Este,PR
Ryder Memorial School for Practical Nursing,PR
Rogies School of Beauty Culture,PR
Universidad del Sagrado Corazon,PR
Seminario Evangelico de Puerto Rico,PR
Universidad Central Del Caribe,PR
Universidad Politecnica de Puerto Rico,PR
Pontifical Catholic University of Puerto Rico-Mayaguez,PR
Universidad Del Turabo,PR
College of Micronesia-FSM,FM
Palau Community College,PW
University of the Virgin Islands,VI
Stanford University,CA
Purdue University-Main Campus,IN
Blue Hills Regional Technical School,MA
Parker University,TX
EDP Univeristy of Puerto Rico Inc-San Juan,PR
ICPR Junior College-General Institutional,PR
ITT Technical Institute-Sylmar,CA
ITT Technical Institute-Westminster,CO
Widener University-Delaware Campus,DE
City College-Fort Lauderdale,FL
Meridian College,FL
Georgia Perimeter College,GA
Georgia Piedmont Technical College,GA
Toni & Guy Hairdressing Academy-Coeur D Alene,ID
Cortiva Institute-Chicago,IL
ETI School of Skilled Trades,IL
Lincoln College of Technology-Florence,KY
Trend Setters' Academy of Beauty Culture-Elizabethtown,KY
Traxlers School of Hair,MS
Infinity Career College,MS
Vatterott College-Berkeley,MO
Metro Business College-Rolla,MO
Metro Business College-Jefferson City,MO
Warren County Community College,NJ
St John's College,NM
Yeshiva and Kollel Harbotzas Torah,NY
Bais Medrash Elyon,NY
Antioch University-Los Angeles,CA
Antioch University-Santa Barbara,CA
Antioch University-New England,NH
Antioch University-Seattle,WA
Antioch University-Midwest,OH
Mid-America Christian University,OK
Platt College-Tulsa,OK
Ponca City Beauty College,OK
Francis Tuttle Technology Center,OK
Career Point College,OK
Central Technology Center,OK
Carrington College-Portland,OR
Career Technology Center of Lackawanna County,PA
Kaplan Career Institute-Nashville,TN
Kaplan College-El Paso,TX
Houston Graduate School of Theology,TX
Palo Alto College,TX
Sebring Career Schools-Huntsville,TX
University of Cosmetology Arts & Sciences-San Antonio Perrin,TX
Central Texas Beauty College-Round Rock,TX
Empire Beauty School-Manitowoc,WI
Unification Theological Seminary,NY
Athens Technical College,GA
Maricopa Skill Center,AZ
Carrington College California-San Leandro,CA
Headmasters School of Hair Design,ID
Razzle Dazzle College of Hair Design Inc,ID
Beckfield College-Florence,KY
University of Louisiana-System Administration,LA
Dorsey Business Schools-Wayne,MI
Ecumenical Theological Seminary,MI
Ross Medical Education Center-Saginaw,MI
Sussex County Community College,NJ
Landmark College,VT
National American University-Independence,MO
Mississippi Community College Board,MS
Yeshiva Gedolah of Greater Detroit,MI
Austin Graduate School of Theology,TX
Collin County Community College District,TX
Owensboro Community and Technical College,KY
Heads West Kentucky Beauty College,KY
Jenny Lea Academy of Cosmetology,KY
Empire Beauty School-Hurstborne,KY
Southeast School of Cosmetology,KY
Cloyd's Beauty School 3 Inc,LA
Moore Norman Technology Center,OK
Fayette County Career & Technical Institute Practical Nursing Program,PA
Franklin County Career and Technology Center,PA
Paul Mitchell the School-Knoxville,TN
Ogle School Hair Skin Nails-Hurst,TX
Okefenokee Technical College,GA
Fashion Institute of Design & Merchandising-San Diego,CA
National American University-Albuquerque,NM
Tennessee College of Applied Technology-Nashville,TN
ECPI University,VA
Ms Robert's Academy of Beauty Culture-Villa Park,IL
Anthem Institute-Jersey City,NJ
Paul Mitchell the School-Houston,TX
ATI Career Training Center-Dallas,TX
TDDS Technical Institute,OH
Fortis Institute-Forty Fort,PA
Laurel Business Institute,PA
Antonelli Medical and Professional Institute,PA
Aviation Institute of Maintenance-Philadelphia,PA
Sanford-Brown Institute-Trevose,PA
Fortis Institute-Mulberry,FL
Carrington College-Phoenix Westside,AZ
Dorsey Business Schools-Roseville,MI
The Salon Professional Academy-Williston,VT
Moler-Pickens Beauty Academy,OH
Red River Technology Center,OK
Kaplan Career Institute-Harrisburg,PA
ITT Technical Institute-Newburgh,IN
Southern Union State Community College,AL
South University-Columbia,SC
Everest University-Brandon,FL
Clinton Technical School,MO
Consolidated School of Business-Lancaster,PA
Greene County Career and Technology Center,PA
Lac Courte Oreilles Ojibwa Community College,WI
University of Wisconsin Extension,WI
Diesel Driving Academy-Shreveport,LA
Pima Medical Institute-Mesa,AZ
Platt College-Los Angeles,CA
Platt College-Aurora,CO
Kaplan University-Davenport Campus,IA
Kaplan University-Cedar Falls Campus,IA
Paul Mitchell the School-Boise,ID
Christian Life College,IL
Knowledge Systems Institute,IL
Educators of Beauty College of Cosmetology-Rockford,IL
ITT Technical Institute-Arlington Heights,IL
Northwestern College-Southwestern Campus,IL
Tulsa Technology Center-Lemley Campus,OK
Tulsa Technology Center-Riverside Campus,OK
Tulsa Technology Center-Broken Arrow Campus,OK
Douglas J Aveda Institute,MI
ITT Technical Institute-Troy,MI
Ross Medical Education Center-Brighton,MI
Ross Medical Education Center-Ann Arbor,MI
Taylortown School of Beauty Inc,MI
Pike-Lincoln Technical Center,MO
Pennsylvania Institute of Health and Technology,PA
Skyline College-Roanoke,VA
Bethel Seminary-San Diego,CA
St Charles Community College,MO
Brandman University,CA
New College of Florida,FL
Montana Bible College,MT
Arizona Academy of Beauty-North,AZ
Empire Beauty School-Prescott,AZ
Le Cordon Bleu College of Culinary Arts-Scottsdale,AZ
Conservatory of Recording Arts and Sciences,AZ
Adrian's College of Beauty Turlock,CA
California Career School,CA
San Joaquin Valley College-Fresno,CA
Rolf Institute of Structural Integration,CO
Heritage College-Denver,CO
Empire Beauty School-Highland,KY
Sunstate Academy,FL
Elizabeth Grady School of Esthetics and Massage Therapy,MA
Ross Medical Education Center-Port Huron,MI
Capri Institute of Hair Design-Clifton,NJ
Raphael's School of Beauty Culture Inc-Alliance,OH
Metro Technology Centers,OK
Heald College-Roseville,CA
Daymar College-Bowling Green,KY
Everest College-Everett,WA
Luna Community College,NM
Grabber School of Hair Design,MO
Yeshivah Gedolah Rabbinical College,FL
University of the District of Columbia-David A Clarke School of Law,DC
Raphael's School of Beauty Culture Inc-Brunswick,OH
Caribbean University-Ponce,PR
Caribbean University-Vega Baja,PR
University of Advancing Technology,AZ
Paradise Valley Community College,AZ
Chandler-Gilbert Community College,AZ
St John's Hospital School of Clinical Lab Science,IL
Madison Media Institute,WI
Sanford-Brown Institute-Landover,MD
Sanford-Brown Institute-White Plains,NY
Sanford-Brown Institute-Garden City,NY
Great Plains Technology Center,OK
Montebello Beauty College,CA
Roane-Jackson Technical Center,WV
Total Cosmetology Training Center,WA
Iverson Business School,TX
Lawrence County Career and Technical Center-Practical Nursing Program,PA
Pioneer Technology Center,OK
Portage Lakes Career Center,OH
Eastern College of Health Vocations-New Orleans,LA
Bell Mar Beauty College,IL
Cannella School of Hair Design-Chicago,IL
Caddo Kiowa Technology Center,OK
Kaplan College-San Antonio-San Pedro,TX
Oswego County BOCES,NY
Le Cordon Bleu College of Culinary Arts-Austin,TX
The Art Institute of New York City,NY
Paris II Educational Center,MO
International School of Skin Nailcare & Massage Therapy,GA
Palomar Institute of Cosmetology,CA
Southern Oklahoma Technology Center,OK
Vista College,TX
Autry Technology Center,OK
Greene County Vocational School District,OH
Canadian Valley Technology Center,OK
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA
Mayo Graduate School,MN
American Beauty Institute,OK
Meridian Technology Center,OK
Waynesville Career Center,MO
Connecticut Institute of Hair Design,CT
Capitol School of Hairstyling and Esthetics,NE
Morris County Vocational School District,NJ
Ross Medical Education Center-Roosevelt Park,MI
Ross Medical Education Center-Kentwood,MI
South Florida Bible College and Theological Seminary,FL
Cloyd's Barber School 2 Inc,LA
Universal Technical Institute of Illinois Inc,IL
Pennsylvania College of Technology,PA
Commonwealth Institute of Funeral Service,TX
Delta College of Arts & Technology,LA
InterCoast Colleges-Orange,CA
Stone Child College,MT
New York Academy of Art,NY
Suffolk County Community College,NY
Las Positas College,CA
Blades School of Hair Design,MD
Altamaha Technical College,GA
Ogeechee Technical College,GA
Remington College-Mobile Campus,AL
Everest College-Aurora,CO
Southwest Florida College,FL
Mercy-St Luke's School of Radiologic Technology,IA
ITT Technical Institute-Norwood,MA
Southwest Acupuncture College-Santa Fe,NM
Northwest Technology Center-Alva,OK
Mercer County Career Center,PA
ITT Technical Institute-Knoxville,TN
ITT Technical Institute-Austin,TX
ITT Technical Institute-Houston North,TX
DeVry University's Keller Graduate School of Management-Arizona,AZ
California State University-San Marcos,CA
Argosy University-Hawaii,HI
DeVry University's Keller Graduate School of Management-Missouri,MO
Baptist Theological Seminary at Richmond,VA
Kaplan College-Modesto,CA
Kaplan University-Des Moines Campus,IA
Hairmasters Institute of Cosmetology,IL
Hair Arts Academy,IN
Pinnacle Career Institute-Lawrence,KS
Interactive College of Technology-Newport,KY
Career Technical College-Monroe,LA
Empire Beauty School-Lowell,MA
Ross Medical Education Center-Taylor,MI
McNally Smith College of Music,MN
Allied Health Careers,TX
National Tractor Trailer School Inc-Liverpool,NY
Interactive Learning Systems-Houston,TX
Star Career Academy_Brick,NJ
New Castle Beauty Academy,PA
NorthWest Arkansas Community College,AR
Madera Beauty College,CA
Colorado Heights University,CO
Brewster Technical Center,FL
Hodges University,FL
Everest University-Lakeland,FL
Argosy University-Atlanta,GA
University of St Augustine for Health Sciences,CA
Capital Area School of Practical Nursing,IL
Hair Professionals Career College,IL
Alexandria School of Scientific Therapeutics,IN
Empire Beauty School-Bloomfield,NJ
Southwest Technology Center,OK
Western Area Career and Technology Center,PA
Daymar Institute-Clarksville,TN
Nossi College of Art,TN
Seguin Beauty School-New Braunfels,TX
ITT Technical Institute-Norfolk,VA
Pima Medical Institute-Seattle,WA
Mineral County Vocational Technical Center,WV
Hypnosis Motivation Institute,CA
Los Angeles ORT College-Los Angeles Campus,CA
Everest College-West Los Angeles,CA
Thanh Le College School of Cosmetology,CA
Southeastern Technical College,GA
Massachusetts School of Law,MA
ITT Technical Institute-Albuquerque,NM
Community Services Division-Alliance City,OH
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,FL
D G Erwin Technical Center,FL
Rosel School of Cosmetology,IL
Worsham College of Mortuary Science,IL
Bryan University,MO
Oregon College of Oriental Medicine,OR
Central Pennsylvania Institute of Science and Technology,PA
Northwest Educational Center,TX
Sebring Career Schools-Houston,TX
PCI Health Training Center,TX
Windham Memorial Hospital-Radiologic Technology Program,CT
Bethel Seminary of the East,MD
Miami-Jacobs Career College-Columbus,OH
Bryant & Stratton College-Eastlake,OH
Hamrick School,OH
Alabama State College of Barber Styling,AL
Fortis College-Mobile,AL
Arkansas Beauty School,AR
Everest College-Ontario,CA
Downey Adult School,CA
Heald College-Stockton,CA
Heald College-Hayward,CA
CRU Institute,CA
Modern Technology School,CA
National Career Education,CA
Everest College-Anaheim,CA
Thuy Princess Beauty College,CA
North-West College-Glendale,CA
Everest College-City of Industry,CA
Fremont College,CA
Pomona Unified School District Adult and Career Education,CA
University of Phoenix-Online Campus,AZ
University of Phoenix-San Diego Campus,CA
Universal College of Beauty Inc-Los Angeles 2,CA
IBMC College,CO
Xenon International Academy-Denver,CO
Academy of Cosmetology,FL
ITT Technical Institute-Lake Mary,FL
Sunstate Academy,FL
Heritage Institute-Jacksonville,FL
Fortis College-Smyrna,GA
Remington College-Honolulu Campus,HI
Vatterott College-Des Moines,IA
Brown Mackie College-Quad Cities,IA
ETI School of Skilled Trades,IL
Pivot Point Academy-Bloomingdale,IL
Xenon International Academy-Kansas City,KS
Baton Rouge College,LA
Diesel Driving Academy-Baton Rouge,LA
Jonesville Beauty School,LA
New England Hair Academy,MA
Rob Roy Academy-Worcester,MA
Upper Cape Cod Regional Technical School,MA
All-State Career-Baltimore,MD
New England School of Communications,ME
Everest Institute-Kalamazoo,MI
Adler Graduate School,MN
Lebanon Technology and Career Center,MO
Academy of Hair Design-Jackson,MS
KC's School of Hair Design,MS
Mitchells Hairstyling Academy-Goldsboro,NC
Lincoln Technical Institute-Moorestown,NJ
Monmouth County Vocational School District,NJ
Kaplan College-Las Vegas,NV
Beauty School of Middletown,NY
Bryant & Stratton College-Southtowns,NY
Continental School of Beauty Culture-Olean,NY
National Tractor Trailer School Inc-Buffalo,NY
Yeshiva Gedolah Imrei Yosef D'spinka,NY
Cleveland Institute of Dental-Medical Assistants-Mentor,OH
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,OH
Knox County Career Center,OH
Madison Adult Career Center,OH
Remington College-Cleveland Campus,OH
Brown Mackie College-Findlay,OH
Toledo Academy of Beauty Culture-East,OH
U S Grant Joint Vocational School,OH
CC's Cosmetology College,OK
Chisholm Trail Technology Center,OK
Gordon Cooper Technology Center,OK
Kiamichi Technology Center-Atoka,OK
Kiamichi Technology Center-Durant,OK
Kiamichi Technology Center-Hugo,OK
Kiamichi Technology Center-McAlester,OK
Kiamichi Technology Center-Idabel,OK
Kiamichi Technology Center-Poteau,OK
Kiamichi Technology Center-Spiro,OK
Kiamichi Technology Center-Talihina,OK
Le Cordon Bleu College of Culinary Arts-Portland,OR
YTI Career Institute-Altoona,PA
Eastern Center for Arts and Technology,PA
Empire Beauty School-Center City Philadelphia,PA
Oakbridge Academy of Arts,PA
Sanford-Brown Institute-Wilkins Township,PA
Centro de Estudios Multidisciplinarios-Humacao,PR
Colegio Mayor de Tecnologia Inc,PR
Institucion Chaviano de Mayaguez,PR
EDIC College,PR
Liceo de Arte-Dise-O y Comercio,PR
Universal Technology College of Puerto Rico,PR
Academy of Hair Technology,SC
Mr Wayne's School of Unisex Hair Design,TN
Southern Institute of Cosmetology,TN
Queen City College,TN
College of the Marshall Islands,MH
American National College,TX
ITT Technical Institute-San Antonio,TX
Remington College-Fort Worth Campus,TX
University of Cosmetology Arts & Sciences-San Antonio Jamar,TX
School of Automotive Machinists,TX
SW School of Business and Technical Careers-Cosmetology,TX
SW School of Business and Technical Careers,TX
Texas College of Cosmetology-Abilene,TX
Vista College-Online,UT
Centura College-Newport News,VA
Centura College-Norfolk,VA
Virginia Beach City Public Schools School of Practical Nursing,VA
Northwest College of Art & Design,WA
University of Washington-Bothell Campus,WA
University of Washington-Tacoma Campus,WA
Huntington School of Beauty Culture-Main Campus,WV
Valley College-Beckley,WV
Valley College-Martinsburg,WV
Valley College-Princeton,WV
Bellus Academy-Poway,CA
Capstone College,CA
Central Coast College,CA
ITT Technical Institute-Torrance,CA
Pacific College of Oriental Medicine-San Diego,CA
Artistic Nails and Beauty Academy-Tampa,FL
National Aviation Academy of Tampa Bay,FL
Sanford-Brown Institute-Tampa,FL
Cain's Barber College Inc,IL
Lawton Career Institute-Oak Park Campus,MI
Madison Oneida BOCES-Practical Nursing Program,NY
Astrodome Career Centers,TX
Center for Advanced Legal Studies,TX
Houston Training School-Main Campus,TX
Remington College-Houston Campus,TX
Bay Mills Community College,MI
Fond du Lac Tribal and Community College,MN
Northwest Indian College,WA
Marinello Schools of Beauty-Provo,UT
Provo College,UT
Paul Mitchell the School-Provo,UT
University of Phoenix-Utah Campus,UT
Utah College of Massage Therapy-Salt Lake City,UT
CET-Coachella,CA
CET-Oxnard,CA
CET-Santa Maria,CA
CET-Rancho Temecula,CA
Colorado School of Traditional Chinese Medicine,CO
Massage Therapy Institute of Colorado,CO
Michigan College of Beauty-Troy,MI
Ogle School Hair Skin Nails-Dallas,TX
Phoenix Seminary,AZ
Faust Institute of Cosmetology-Spirit Lake,IA
Seattle Vocational Institute,WA
Baker College of Port Huron,MI
Empire Beauty School-Hyannis,MA
Brookstone College-Greensboro,NC
Cheeks International Academy of Beauty Culture-Fort Collins,CO
Cheeks International Academy of Beauty Culture-Greeley,CO
Colorado School of Healing Arts,CO
Remington College-Colorado Springs Campus,CO
Empire Beauty School-Arvada,CO
Westwood College-Denver South,CO
Kaplan College-Denver,CO
Healing Arts Institute,CO
ITT Technical Institute-San Bernardino,CA
Los Angeles ORT College-Van Nuys Campus,CA
Texas School of Business-Southwest,TX
University of Phoenix-Puerto Rico Campus,PR
Mt Diablo Adult Education,CA
Royale College of Beauty,CA
Westech College,CA
Greater Lowell Technical School,MA
Academy of Hair Design-Pearl,MS
King's College,NC
Miller-Motte Technical College-Clarksville,TN
Genesis Career College-Lebanon,TN
Kaplan College-Dallas,TX
Star College of Cosmetology 2,TX
Southwest Collegiate Institute for the Deaf,TX
Fortis College-Richmond,VA
Midwest College of Oriental Medicine-Racine,WI
Hacienda La Puente Adult Education,CA
La Belle Beauty Academy,FL
Advanced Technical Centers,FL
Hawaii Community College,HI
Regency Beauty Institute-Winston-Salem,NC
Robert Fiance Beauty Schools-North Plainfield,NJ
Long Island Beauty School-Hauppauge,NY
Buckeye Joint Vocational School,OH
Sandusky Career Center,OH
Greater Altoona Career & Technology Center,PA
Northeastern Hospital School of Nursing,PA
Central Texas Beauty College-Temple,TX
Dance Theatre of Harlem Inc,NY
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NY
Empire Beauty School-Brooklyn,NY
Houston Training School-Gulfgate,TX
Star Career Academy-Philadelphia,PA
Antonelli College-Hattiesburg,MS
Eastern New Mexico University-Ruidoso Campus,NM
Newbridge College-Santa Ana,CA
Kaplan College-Stockton,CA
The Bryman School of Arizona,AZ
Beacon College,FL
Acupuncture and Integrative Medicine College-Berkeley,CA
Estrella Mountain Community College,AZ
Heartland Community College,IL
University of the Potomac-Washington DC Campus,DC
Rabbi Jacob Joseph School,NJ
Sanford-Brown Institute-Ft Lauderdale,FL
The Salon Professional Academy-Melbourne,FL
Fortis Institute-Scranton,PA
Milan Institute of Cosmetology-Amarillo,TX
Everglades University,FL
Seminar L'moros Bais Yaakov,NY
Herzing University-Winter Park,FL
Coral Ridge Nurses Assistant Training School Inc,FL
Emil Fries Piano Hospital and Training Center,WA
Fairview Beauty Academy,OH
Florida College of Natural Health-Pompano Beach,FL
National College-Nashville,TN
College of Biblical Studies-Houston,TX
Inner State Beauty School,OH
